ISO3,ParentLocation,Country,MD_per_10K,N_mper_10K,total_HRH,SBA.coverage,UHC_idex,GNI_2020,conflict_frag,HSP,,,,,,,
LVA,Europe,Latvia,34.05,44.34,78.39,99.9,72,31470,neither, HS3,,,,,,,
MAR,Eastern Mediterranean,Morocco,7.31,13.89,21.2,86.6,73,7260,neither,  HS2 ,,,,,,,
MDA,Europe,Republic of Moldova,31.03,46.79,77.82,99.6,67,13370,neither, HS3,,,,,,,
MDG,Africa,Madagascar,1.99,2.98,4.97,46.1,35,1500,neither,HS1   ,,,,,,,
MDV,South-East Asia,Maldives,20.53,48.08,68.61,99.5,69,12340,neither, HS3,,,,,,,
MEX,Americas,Mexico,24.25,28.24,52.49,96.6,74,18050,neither, HS3,,,,,,,
MHL,Western Pacific,Marshall Islands,4.23,32.98,37.21,92.4,62,5060,fragile,fragile,,,,,,,
MKD,Europe,The former Yugoslav Republic of Macedonia,28.74,37.92,66.66,100,68,16070,neither, HS3,,,,,,,
MLI,Africa,Mali,1.29,4.41,5.7,67.3,42,2250,conflict,conflict,,,,,,,
MLT,Europe,Malta,28.6,83.7,112.3,99.89,81,39480,neither, HS3,,,,,,,
MMR,South-East Asia,Myanmar,7.37,10.82,18.19,60.2,61,4960,conflict,conflict,,,,,,,
MNE,Europe,Montenegro,27.4,53.72,81.12,98.8,67,20310,neither, HS3,,,,,,,
MNG,Western Pacific,Mongolia,38.52,42.14,80.66,99.3,63,11200,neither, HS3,,,,,,,
MOZ,Africa,Mozambique,0.85,4.85,5.7,73,47,1270,conflict,conflict,,,,,,,
MRT,Africa,Mauritania,1.87,9.25,11.12,69.3,40,5320,neither,HS2 ,,,,,,,
MUS,Africa,Mauritius,18.9,39.35,58.25,99.8,65,22370,neither, HS3,,,,,,,
MWI,Africa,Malawi,0.5,7.09,7.59,96.4,48,1570,neither,HS2,,,,,,,
MYS,Western Pacific,Malaysia,21.15,34.84,55.99,99.6,76,27360,neither, HS3,,,,,,,
NAM,Africa,Namibia,5.9,19.54,25.44,88.2,62,9320,neither,  HS2 ,,,,,,,
NER,Africa,Niger,0.16,2.23,2.39,43.6,37,1230,conflict,conflict,,,,,,,
NGA,Africa,Nigeria,3.81,9.26,13.07,43.3,44,5000,conflict,conflict,,,,,,,
NIC,Americas,Nicaragua,9.9,15.52,25.42,94.1,70,5210,neither, HS3,,,,,,,
NOR,Europe,Norway,50.47,184.2,234.67,99.2,86,65150,neither, HS3,,,,,,,
NPL,South-East Asia,Nepal,8.52,33.42,41.94,77.2,53,4040,neither,  HS2 ,,,,,,,
NRU,Western Pacific,Nauru,13.46,67.31,80.77,97.4,54,22180,neither, HS3,,,,,,,
NZL,Western Pacific,New Zealand,36.18,117.8,153.98,96.4,86,43890,neither, HS3,,,,,,,
OMN,Eastern Mediterranean,Oman,17.74,39.38,57.12,99.9,69,28850,neither, HS3,,,,,,,
PAK,Eastern Mediterranean,Pakistan,11.18,4.83,16.01,68,45,5330,neither,  HS2 ,,,,,,,
PAN,Americas,Panama,16.32,32.06,48.38,95,77,25950,neither, HS3,,,,,,,
PER,Americas,Peru,13.69,29.77,43.46,95.7,78,11590,neither, HS3,,,,,,,
PHL,Western Pacific,Philippines,6,52.74,58.74,84.4,55,9030,neither,  HS2 ,,,,,,,
PLW,Western Pacific,Palau,17.68,64.64,82.32,97.2,59,16620,neither, HS3,,,,,,,
PNG,Western Pacific,Papua New Guinea,0.66,4.53,5.19,56.4,33,4240,fragile,fragile,,,,,,,
POL,Europe,Poland,37.71,68.66,106.37,99.7,74,33040,neither, HS3,,,,,,,
PRK,South-East Asia,Democratic People's Republic of Korea,36.83,44.49,81.32,99.5,68,NA,neither, NA,,,,,,,
PRT,Europe,Portugal,54.84,74.1,128.94,98.6,84,33640,neither, HS3,,,,,,,
PRY,Americas,Paraguay,13.54,16.6,30.14,97.7,61,12610,neither, HS3,,,,,,,
QAT,Eastern Mediterranean,Qatar,24.85,71.97,96.82,100,74,88060,neither, HS3,,,,,,,
ROU,Europe,Romania,29.81,73.89,103.7,93.1,71,31700,neither, HS3,,,,,,,
RUS,Europe,Russian Federation,38.19,62.31,100.5,99.6,75,29210,neither, HS3,,,,,,,
RWA,Africa,Rwanda,1.18,9.48,10.66,94.3,54,2160,neither,HS2 ,,,,,,,
SAU,Eastern Mediterranean,Saudi Arabia,27.53,58.17,85.7,98.7,73,47700,neither, HS3,,,,,,,
SDN,Eastern Mediterranean,Sudan,4.07,8.25,12.32,77.7,44,3920,fragile,fragile,,,,,,,
SEN,Africa,Senegal,0.88,5.4,6.28,74.5,49,3420,neither,HS2 ,,,,,,,
SGP,Western Pacific,Singapore,23.45,62.43,85.88,99.6,86,86340,neither, HS3,,,,,,,
SLB,Western Pacific,Solomon Islands,1.87,19.94,21.81,86.2,50,2680,fragile,fragile,,,,,,,
SLE,Africa,Sierra Leone,0.74,7.53,8.27,86.9,39,1690,neither,HS1   ,,,,,,,
SLV,Americas,El Salvador,28.7,18.34,47.04,99.9,76,7970,neither, HS3,,,,,,,
SOM,Eastern Mediterranean,Somalia,0.23,1.12,1.35,31.9,27,1240,conflict,conflict,,,,,,,
SRB,Europe,Serbia,31.13,60.86,91.99,99.9,71,18510,neither, HS3,,,,,,,
SSD,Africa,South Sudan,0.37,3.4,3.77,19.4,32,NA,conflict,conflict,,,,,,,
STP,Africa,Sao Tome and Principe,4.88,21.49,26.37,96.8,60,4320,neither,HS2,,,,,,,
SUR,Americas,Suriname,8.19,27.57,35.76,98.4,67,14040,neither, HS3,,,,,,,
SVK,Europe,Slovakia,35.65,60.55,96.2,98.2,77,31000,neither, HS3,,,,,,,
SVN,Europe,Slovenia,32.77,104.6,137.37,99.8,80,39420,neither, HS3,,,,,,,
SWZ,Africa,Eswatini,1.42,25.14,26.56,88.3,58,7950,neither,HS2 ,,,,,,,
SYC,Africa,Seychelles,24.72,229.5,254.22,99.5,70,26820,neither, HS3,,,,,,,
SYR,Eastern Mediterranean,Syrian Arab Republic,12.87,15.41,28.28,96.2,56,NA,conflict,conflict,,,,,,,
TCD,Africa,Chad,0.61,2.03,2.64,38.8,28,1480,fragile,fragile,,,,,,,
TGO,Africa,Togo,0.83,5.07,5.9,69.4,44,2230,neither,HS1   ,,,,,,,
THA,South-East Asia,Thailand,9.19,31.52,40.71,99.1,83,17780,neither, HS3,,,,,,,
TJK,Europe,Tajikistan,17.23,47.53,64.76,94.8,66,na,neither,NA,,,,,,,
TKM,Europe,Turkmenistan,22.25,44.27,66.52,100,73,15600,neither, HS3,,,,,,,
TLS,South-East Asia,Timor-Leste,7.56,17.48,25.04,56.7,53,5190,fragile,fragile,,,,,,,
TON,Western Pacific,Tonga,9.46,45.41,54.87,98.3,56,7260,neither, HS3,,,,,,,
TTO,Americas,Trinidad and Tobago,44.76,40.7,85.46,100,73,26290,neither, HS3,,,,,,,
TUN,Eastern Mediterranean,Tunisia,13.03,25.14,38.17,99.5,70,10500,neither, HS3,,,,,,,
TUR,Europe,TÃƒÂ¼rkiye,19.28,30.45,49.73,97,79,26880,neither, HS3,,,,,,,
