"iso3","Mortality.reduction","Outcome","Risk","NCD4","self_harm","NCD.cause.grouping"
"MHL",0.019245283018868,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MRT",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MUS",0.0871461438679247,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MEX",0.019245283018868,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MDA",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MNG",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MNE",0.0253584905660378,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MAR",0.0352449056603774,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MOZ",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MMR",0.0792452830188681,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"NAM",0.0226415094339623,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"NPL",0.0845776259433964,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"NLD",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"NZL",0.0845776259433964,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"NIC",0.0328301886792453,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"NER",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"NGA",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"PRK",0.0831099014150945,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"MNP",NA,NA,NA,NA,NA,NA
"NOR",0.0172754716981133,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"OMN",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"PAK",0.0880634716981134,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"PSE",NA,NA,NA,NA,NA,NA
"PAN",0.0537735849056605,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"PNG",0.0169811320754717,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"PRY",0.0356603773584906,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"PER",0.039622641509434,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"PHL",0.0818256424528303,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"POL",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"PRT",0.022811320754717,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"PRI",NA,NA,NA,NA,NA,NA
"QAT",0.0268301886792453,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ROU",0.0840272292452832,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"RUS",0.0219622641509434,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"RWA",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"LCA",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"VCT",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"WSM",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"STP",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SAU",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SEN",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SRB",0.0818256424528303,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SYC",0.0475471698113208,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SLE",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SGP",0.0256358490566038,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SVK",0.0383292452830189,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SVN",0.0267735849056604,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SLB",0.0124528301886793,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SOM",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ZAF",0.010188679245283,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"KOR",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SSD",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ESP",0.0220754716981132,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"LKA",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SDN",0.0384905660377359,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SUR",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SWZ",0.0203773584905661,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SWE",0.065122386792453,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"CHE",0.0226415094339623,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"SYR",0.0413207547169812,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"TWN",NA,NA,NA,NA,NA,NA
"TJK",0.0509433962264152,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"TZA",0.00792452830188681,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"THA",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"BHS",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"GMB",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"TLS",0.0699053207547171,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"TGO",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"TON",0.0249056603773585,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"TTO",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"TUN",0.0155320754716982,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"TUR",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"TKM",0.0249056603773585,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"UGA",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"UKR",0.0384905660377359,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"ARE",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"GBR",0,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"USA",0.0289245283018868,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"URY",0.016522641509434,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"UZB",0.0163641509433963,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
"VUT",0.0169811320754717,"Hypertensive heart disease","Salt","yes","no","All other cardiovascular diseases"
