"iso3","Mortality.reduction","Outcome","Risk","NCD4","self_harm","NCD.cause.grouping"
"FRA",0.0150962264150944,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"GAB",0.019245283018868,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"GEO",0.0500428301886793,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"DEU",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"GHA",0.0628301886792454,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"GRC",0.0214528301886793,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"GRL",NA,"Intracerebral hemorrhage",NA,NA,NA,"Haemorrhagic stroke"
"GRD",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"GUM",NA,"Intracerebral hemorrhage",NA,NA,NA,"Haemorrhagic stroke"
"GTM",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"GIN",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"GNB",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"GUY",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"HTI",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"HND",0.0328301886792453,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"HUN",0.0270566037735849,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"ISL",0.0203773584905661,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"IND",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"IDN",0.0840272292452832,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"IRN",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"IRQ",0.0530745283018869,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"IRL",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"ISR",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"ITA",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"JAM",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"JPN",0.105859631603774,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"JOR",0.0515094339622642,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"KAZ",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"KEN",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"KIR",0.0130188679245283,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"KWT",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"KGZ",0.0537735849056605,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"LAO",0.0798113207547171,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"LVA",0.0520754716981133,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"LBN",0.0577358490566039,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"LSO",0.00849056603773586,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"LBR",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"LBY",0.0520754716981133,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"LTU",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"LUX",0.0650943396226416,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MKD",0.0816421768867926,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MDG",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MWI",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MYS",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MDV",0.0854949537735851,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MLI",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MLT",0.0228679245283019,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MHL",0.019245283018868,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MRT",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MUS",0.0871461438679247,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MEX",0.019245283018868,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MDA",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MNG",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MNE",0.0253584905660378,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MAR",0.0352449056603774,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MOZ",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MMR",0.0792452830188681,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"NAM",0.0226415094339623,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"NPL",0.0845776259433964,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"NLD",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"NZL",0.0845776259433964,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"NIC",0.0328301886792453,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"NER",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"NGA",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"PRK",0.0831099014150945,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"MNP",NA,"Intracerebral hemorrhage",NA,NA,NA,"Haemorrhagic stroke"
"NOR",0.0172754716981133,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"OMN",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"PAK",0.0880634716981134,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"PSE",NA,"Intracerebral hemorrhage",NA,NA,NA,"Haemorrhagic stroke"
"PAN",0.0537735849056605,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"PNG",0.0169811320754717,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"PRY",0.0356603773584906,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"PER",0.039622641509434,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"PHL",0.0818256424528303,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"POL",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"PRT",0.022811320754717,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"PRI",NA,"Intracerebral hemorrhage",NA,NA,NA,"Haemorrhagic stroke"
"QAT",0.0268301886792453,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"ROU",0.0840272292452832,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"RUS",0.0219622641509434,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"RWA",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"LCA",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"VCT",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"WSM",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"STP",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SAU",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SEN",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SRB",0.0818256424528303,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SYC",0.0475471698113208,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SLE",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SGP",0.0256358490566038,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SVK",0.0383292452830189,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SVN",0.0267735849056604,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SLB",0.0124528301886793,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SOM",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"ZAF",0.010188679245283,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"KOR",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SSD",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"ESP",0.0220754716981132,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"LKA",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SDN",0.0384905660377359,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SUR",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SWZ",0.0203773584905661,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SWE",0.065122386792453,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"CHE",0.0226415094339623,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"SYR",0.0413207547169812,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"TWN",NA,"Intracerebral hemorrhage",NA,NA,NA,"Haemorrhagic stroke"
"TJK",0.0509433962264152,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"TZA",0.00792452830188681,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"THA",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"BHS",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"GMB",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"TLS",0.0699053207547171,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"TGO",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"TON",0.0249056603773585,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"TTO",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"TUN",0.0155320754716982,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"TUR",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"TKM",0.0249056603773585,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"UGA",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"UKR",0.0384905660377359,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"ARE",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"GBR",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"USA",0.0289245283018868,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"URY",0.016522641509434,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"UZB",0.0163641509433963,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"VUT",0.0169811320754717,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"VEN",0.0486792452830189,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"VNM",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"VIR",NA,"Intracerebral hemorrhage",NA,NA,NA,"Haemorrhagic stroke"
"YEM",0.0345283018867925,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"ZMB",0,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
"ZWE",0.00905660377358493,"Intracerebral hemorrhage","Salt","yes","no","Haemorrhagic stroke"
