iso3,income,region
PSE,Lower middle income,7_NonMS
PYF,High income,
QAT,High income,5_Emr
REU,,
ROU,Upper middle income,4_Eur
RUS,Upper middle income,4_Eur
RWA,Low income,1_Afr
SAU,High income,5_Emr
SDN,Lower middle income,5_Emr
SEN,Low income,1_Afr
SGP,High income,6_Wpr
SLB,Lower middle income,6_Wpr
SLE,Low income,1_Afr
SLV,Lower middle income,2_Amr
SMR,High income,4_Eur
SOM,Low income,5_Emr
SRB,Upper middle income,4_Eur
SSD,Low income,1_Afr
STP,Lower middle income,1_Afr
SUR,Upper middle income,2_Amr
SVK,High income,4_Eur
SVN,High income,4_Eur
SWE,High income,4_Eur
SWZ,Lower middle income,1_Afr
SXM,High income,
SYC,High income,1_Afr
SYR,Lower middle income,5_Emr
TCA,High income,
TCD,Low income,1_Afr
TGO,Low income,1_Afr
THA,Upper middle income,3_Sear
TJK,Lower middle income,4_Eur
TKL,,
TKM,Upper middle income,4_Eur
TLS,Lower middle income,3_Sear
TON,Lower middle income,6_Wpr
TTO,High income,2_Amr
TUN,Lower middle income,5_Emr
TUR,Upper middle income,4_Eur
TUV,Upper middle income,6_Wpr
TWN,High income,7_NonMS
TZA,Low income,1_Afr
UGA,Low income,1_Afr
UKR,Lower middle income,4_Eur
URY,High income,2_Amr
USA,High income,2_Amr
UZB,Lower middle income,4_Eur
VCT,Upper middle income,2_Amr
VEN,Upper middle income,2_Amr
VGB,High income,
VIR,High income,
VNM,Lower middle income,6_Wpr
VUT,Lower middle income,6_Wpr
WSM,Lower middle income,6_Wpr
YEM,Lower middle income,5_Emr
ZAF,Upper middle income,1_Afr
ZMB,Lower middle income,1_Afr
ZWE,Low income,1_Afr
ANT,,
CSK,,
DDR,,
DEF,,
GIB,High income,
KSV,Lower middle income,
MAF,High income,
PCN,,
SCG,,
SDA,,
SHN,,
SPM,,
SUN,,
VAT,,
WLF,,
YUG,,
