,iso3,country,region,salt policy,salt policy: product reform,salt policy: reg salt content,salt policy: public awareness pgm,salt policy: FOPL,salt policy: enforcement,prog7a,AreaName,NAintake,reformRRR,envRRR,foplRRR,mediaRRR,reduced,target,reduxadj,mort.redux,coverage,target.coverage
102,MKD,North Macedonia,EUR,no,no,no,no,no,voluntary,not achieved,Macedonia,4.45,0.15,0.07,0.1,0.05,1.6465,2.8035,1.45,0.0820758,0,1
103,MDG,Madagascar,AFR,no,no,no,no,no,voluntary,not achieved,Madagascar,2.65,0.15,0.07,0.1,0.05,0.9805,1.6695,0,0,0,0
104,MWI,Malawi,AFR,no,no,no,no,no,voluntary,not achieved,Malawi,2.64,0.15,0.07,0.1,0.05,0.9768,1.6632,0,0,0,0
105,MYS,Malaysia,WPR,yes,yes,yes,yes,yes,voluntary,fully achieved,Malaysia,4.85,0.15,0.07,0.1,0.05,1.7945,3.0555,1.7945,0.101575878,1,1
106,MDV,Maldives,SEAR,no,no,no,no,no,voluntary,not achieved,Maldives,4.66,0.15,0.07,0.1,0.05,1.7242,2.9358,1.66,0.09396264,0,1
107,MLI,Mali,AFR,no,no,no,no,no,voluntary,not achieved,Mali,2.76,0.15,0.07,0.1,0.05,1.0212,1.7388,0,0,0,0
108,MLT,Malta,EUR,yes,yes,yes,yes,no,voluntary,partially achieved,Malta,4.04,0.15,0.07,0.1,0.05,1.4948,2.5452,1.04,0.05886816,0.75,1
109,MHL,Marshall Islands,WPR,no,no,no,no,no,voluntary,not achieved,Marshall Islands,3.34,0.15,0.07,0.1,0.05,1.2358,2.1042,0.34,0.01924536,0,1
110,MRT,Mauritania,AFR,no,no,no,no,no,voluntary,not achieved,Mauritania,2.89,0.15,0.07,0.1,0.05,1.0693,1.8207,0,0,0,0
111,MUS,Mauritius,AFR,no,no,no,no,no,voluntary,not achieved,Mauritius,4.75,0.15,0.07,0.1,0.05,1.7575,2.9925,1.75,0.099057,0,1
112,MEX,Mexico,AMR,yes,no,yes,no,yes,mandatory,partially achieved,Mexico,3.34,0.15,0.07,0.1,0.05,1.2358,2.1042,0.34,0.01924536,0.5,1
113,MDA,Republic of Moldova,EUR,yes,yes,yes,yes,yes,voluntary,fully achieved,Republic of Moldova,3.54,0.15,0.07,0.1,0.05,1.3098,2.2302,0.54,0.03056616,1,1
114,MNG,Mongolia,WPR,yes,yes,yes,yes,yes,mandatory,fully achieved,Mongolia,4.27,0.15,0.07,0.1,0.05,1.5799,2.6901,1.27,0.07188708,1,1
115,MNE,Montenegro,EUR,yes,yes,yes,yes,no,mandatory,partially achieved,Montenegro,4.48,0.15,0.07,0.1,0.05,1.6576,2.8224,1.48,0.08377392,0.75,1
116,MAR,Morocco,EMR,yes,yes,no,yes,no,voluntary,partially achieved,Morocco,3.82,0.15,0.07,0.1,0.05,1.4134,2.4066,0.82,0.04641528,0.5,1
117,MOZ,Mozambique,AFR,no,no,no,no,no,voluntary,not achieved,Mozambique,2.65,0.15,0.07,0.1,0.05,0.9805,1.6695,0,0,0,0
118,MMR,Myanmar,SEAR,no,no,no,no,no,voluntary,not achieved,Myanmar,4.4,0.15,0.07,0.1,0.05,1.628,2.772,1.4,0.0792456,0,1
119,NAM,Namibia,AFR,no,no,no,no,no,voluntary,not achieved,Namibia,3.4,0.15,0.07,0.1,0.05,1.258,2.142,0.4,0.0226416,0,1
