Super_region,Region,location_gbd,gbd2019,location_wb,location_who,location_ncdrisc,NCD_region,SDI,World_bank_2015,iso3,LocID,wb2021
"Central Europe, Eastern Europe, and Central Asia",Central Asia,Georgia,Georgia,Georgia,Georgia,Georgia,"Central Asia, Middle East and North Africa",High-middle SDI,UMIC,GEO,268,UMIC
High-income,Western Europe,Germany,Germany,Germany,Germany,Germany,High-income Western countries,High SDI,HIC,DEU,276,HIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Ghana,Ghana,Ghana,Ghana,Ghana,Sub-Saharan Africa,Low-middle SDI,LMIC,GHA,288,LMIC
High-income,Western Europe,Greece,Greece,Greece,Greece,Greece,High-income Western countries,High SDI,HIC,GRC,300,HIC
High-income,High-income North America,Greenland,Greenland,Greenland,NA,Greenland,NA,High-middle SDI,HIC,GRL,304,HIC
Latin America and Caribbean,Caribbean,Grenada,Grenada,Grenada,Grenada,Grenada,NA,Middle SDI,UMIC,GRD,308,UMIC
"Southeast Asia, East Asia, and Oceania",Oceania,Guam,Guam,Guam,Guam,NA,NA,High-middle SDI,HIC,GUM,316,HIC
Latin America and Caribbean,Central Latin America,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,Latin America and Caribbean,Low-middle SDI,LMIC,GTM,320,UMIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Guinea,Guinea,Guinea,Guinea,Guinea,Sub-Saharan Africa,Low SDI,LIC,GIN,324,LIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guinea Bissau,Sub-Saharan Africa,Low SDI,LIC,GNB,624,LIC
Latin America and Caribbean,Caribbean,Guyana,Guyana,Guyana,Guyana,Guyana,Latin America and Caribbean,Middle SDI,UMIC,GUY,328,UMIC
Latin America and Caribbean,Caribbean,Haiti,Haiti,Haiti,Haiti,Haiti,Latin America and Caribbean,Low SDI,LIC,HTI,332,LMIC
Latin America and Caribbean,Central Latin America,Honduras,Honduras,Honduras,Honduras,Honduras,Latin America and Caribbean,Low-middle SDI,LMIC,HND,340,LMIC
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Hungary,Hungary,Hungary,Hungary,Hungary,Central and Eastern Europe,High-middle SDI,HIC,HUN,348,HIC
High-income,Western Europe,Iceland,Iceland,Iceland,Iceland,Iceland,High-income Western countries,High SDI,HIC,ISL,352,HIC
South Asia,South Asia,India,India,India,India,India,South Asia,Low-middle SDI,LMIC,IND,356,LMIC
