"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Treatment of early-stage breast cancer",4.3,"Pakistan",2021,412859.501784337,412859.501784337,0
"Treatment of early-stage breast cancer",4.3,"Pakistan",2022,425890.818176051,425890.818176051,0
"Treatment of early-stage breast cancer",4.3,"Pakistan",2023,723097.040434225,439778.316989236,283318.723444989
"Treatment of early-stage breast cancer",4.3,"Pakistan",2024,1040334.51056786,454470.262502221,585864.248065638
"Treatment of early-stage breast cancer",4.3,"Pakistan",2025,1379405.94126903,469974.388595404,909431.552673625
"Treatment of early-stage breast cancer",4.3,"Pakistan",2026,1736990.10617609,484867.983726754,1252122.12244934
"Treatment of early-stage breast cancer",4.3,"Pakistan",2027,2117133.96950163,500344.076954181,1616789.89254745
"Treatment of early-stage breast cancer",4.3,"Pakistan",2028,2521612.5575573,516498.283329917,2005114.27422738
"Treatment of early-stage breast cancer",4.3,"Pakistan",2029,2952952.51765078,533516.199817359,2419436.31783342
"Treatment of early-stage breast cancer",4.3,"Pakistan",2030,3413692.32276898,551503.68156427,2862188.6412047
"Tobacco tax",5.1,"Pakistan",2020,56147.9600242965,56147.9600242965,0
"Tobacco tax",5.1,"Pakistan",2021,57251.0567629767,57251.0567629767,0
"Tobacco tax",5.1,"Pakistan",2022,58357.6558094759,58357.6558094759,0
"Tobacco tax",5.1,"Pakistan",2023,66897.6926379831,59464.6156782072,7433.07695977591
"Tobacco tax",5.1,"Pakistan",2024,75709.2070027497,60567.2950474343,15141.9119553154
"Tobacco tax",5.1,"Pakistan",2025,84785.6799179597,61662.0629301501,23123.6169878096
"Tobacco tax",5.1,"Pakistan",2026,94118.9350076795,62745.3780561791,31373.5569515004
"Tobacco tax",5.1,"Pakistan",2027,103699.69392441,63814.1084970814,39885.5854273286
"Tobacco tax",5.1,"Pakistan",2028,113527.019803654,64870.7803987969,48656.2394048575
"Tobacco tax",5.1,"Pakistan",2029,123605.591936467,65920.2413411484,57685.3505953191
"Tobacco tax",5.1,"Pakistan",2030,133941.267733485,66966.7181820741,66974.5495514109
"Alcohol tax",5.2,"Pakistan",2020,56147.9600242965,56147.9600242965,0
"Alcohol tax",5.2,"Pakistan",2021,57251.0567629767,57251.0567629767,0
"Alcohol tax",5.2,"Pakistan",2022,58357.6558094759,58357.6558094759,0
"Alcohol tax",5.2,"Pakistan",2023,66897.6926379831,59464.6156782072,7433.07695977591
"Alcohol tax",5.2,"Pakistan",2024,75709.1321691323,60567.2950474343,15141.837121698
"Alcohol tax",5.2,"Pakistan",2025,84785.3816643345,61662.0629301501,23123.3187341844
"Alcohol tax",5.2,"Pakistan",2026,94118.1682538011,62745.3780561791,31372.7901976219
"Alcohol tax",5.2,"Pakistan",2027,103698.113502157,63814.1084970814,39884.0050050752
"Alcohol tax",5.2,"Pakistan",2028,113524.174896003,64870.7803987969,48653.3944972059
"Alcohol tax",5.2,"Pakistan",2029,123600.925951685,65920.2413411484,57680.6846105363
"Alcohol tax",5.2,"Pakistan",2030,133934.122816298,66966.7181820741,66967.4046342241
"Tobacco policy",5.3,"Pakistan",2020,540424.115017684,540424.115017684,0
"Tobacco policy",5.3,"Pakistan",2021,551041.421123234,551041.421123234,0
"Tobacco policy",5.3,"Pakistan",2022,561692.436941528,561692.436941528,0
"Tobacco policy",5.3,"Pakistan",2023,586655.598849992,572346.925673806,14308.673176186
"Tobacco policy",5.3,"Pakistan",2024,612108.408720288,582960.214598371,29148.1941219169
"Tobacco policy",5.3,"Pakistan",2025,638010.321573961,593497.355465295,44512.9661086651
"Tobacco policy",5.3,"Pakistan",2026,664318.264983624,603924.263549154,60394.0014344702
"Tobacco policy",5.3,"Pakistan",2027,690990.171386552,614210.794038724,76779.3773478279
"Tobacco policy",5.3,"Pakistan",2028,718043.578661503,624381.261088668,93662.3175728346
"Tobacco policy",5.3,"Pakistan",2029,745524.697356869,634482.32265476,111042.374702109
"Tobacco policy",5.3,"Pakistan",2030,773477.218958003,644554.662244641,128922.556713362
"Salt policy",5.5,"Pakistan",2020,0,0,0
"Salt policy",5.5,"Pakistan",2021,0,0,0
"Salt policy",5.5,"Pakistan",2022,0,0,0
"Salt policy",5.5,"Pakistan",2023,1129453.28587564,0,1129453.28587564
"Salt policy",5.5,"Pakistan",2024,2300815.35205381,0,2300815.35205381
"Salt policy",5.5,"Pakistan",2025,3513665.91282613,0,3513665.91282613
"Salt policy",5.5,"Pakistan",2026,4767318.31519954,0,4767318.31519954
"Salt policy",5.5,"Pakistan",2027,6060853.81066125,0,6060853.81066125
"Salt policy",5.5,"Pakistan",2028,7393759.19177415,0,7393759.19177415
"Salt policy",5.5,"Pakistan",2029,8766019.47929724,0,8766019.47929724
"Salt policy",5.5,"Pakistan",2030,10177890.4760766,0,10177890.4760766
"Trans fat policy",5.6,"Pakistan",2020,2137583.43700386,2137583.43700386,0
"Trans fat policy",5.6,"Pakistan",2021,2179578.93099857,2179578.93099857,0
"Trans fat policy",5.6,"Pakistan",2022,2221707.7597606,2221707.7597606,0
"Trans fat policy",5.6,"Pakistan",2023,2546831.61587435,2263850.32522165,282981.290652706
"Trans fat policy",5.6,"Pakistan",2024,2882299.56240059,2305829.92973383,576469.632666763
"Trans fat policy",5.6,"Pakistan",2025,3227863.86829337,2347508.33964301,880355.528650357
"Trans fat policy",5.6,"Pakistan",2026,3583213.93086205,2388750.73686373,1194463.19399831
"Trans fat policy",5.6,"Pakistan",2027,3947996.08647818,2429437.88717349,1518558.1993047
"Trans fat policy",5.6,"Pakistan",2028,4322173.86169863,2469665.96232487,1852507.89937375
"Trans fat policy",5.6,"Pakistan",2029,4705924.22057151,2509619.51232352,2196304.70824799
"Trans fat policy",5.6,"Pakistan",2030,5099468.6720392,2549459.45595465,2550009.21608455
