"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"CVD primary prevention",2.4,"Tajikistan",2024,7037457.87845485,5167133.13092322,1870324.74753163
"CVD primary prevention",2.4,"Tajikistan",2025,8204527.23947665,5314918.71642273,2889608.52305391
"CVD primary prevention",2.4,"Tajikistan",2026,9436742.14538885,5467287.2116597,3969454.93372915
"CVD primary prevention",2.4,"Tajikistan",2027,10718634.5482809,5614487.97565654,5104146.57262435
"CVD primary prevention",2.4,"Tajikistan",2028,12049897.9054444,5757427.84699555,6292470.05844886
"CVD primary prevention",2.4,"Tajikistan",2029,13428124.6183851,5895832.02603674,7532292.59234833
"CVD primary prevention",2.4,"Tajikistan",2030,14849446.4921505,6028958.82749533,8820487.66465517
"Aspirin for suspected ACS",2.5,"Tajikistan",2020,2236.19700251963,2236.19700251963,0
"Aspirin for suspected ACS",2.5,"Tajikistan",2021,2311.54955128897,2311.54955128897,0
"Aspirin for suspected ACS",2.5,"Tajikistan",2022,2390.46114174051,2390.46114174051,0
"Aspirin for suspected ACS",2.5,"Tajikistan",2023,2921.67608486081,2474.38982033469,447.286264526123
"Aspirin for suspected ACS",2.5,"Tajikistan",2024,3494.2323208212,2565.08446707497,929.147853746234
"Aspirin for suspected ACS",2.5,"Tajikistan",2025,4113.79202297029,2663.51435967583,1450.27766329446
"Aspirin for suspected ACS",2.5,"Tajikistan",2026,4786.29997806664,2770.2441456258,2016.05583244084
"Aspirin for suspected ACS",2.5,"Tajikistan",2027,5510.901590354,2882.19966152355,2628.70192883045
"Aspirin for suspected ACS",2.5,"Tajikistan",2028,6288.31788142464,2998.12962000568,3290.18826141896
"Aspirin for suspected ACS",2.5,"Tajikistan",2029,7115.08001047855,3115.36190844182,3999.71810203674
"Aspirin for suspected ACS",2.5,"Tajikistan",2030,7986.70023945735,3231.63767916037,4755.06256029698
"Heart failure chronic treatment",2.7,"Tajikistan",2020,464652.279516336,464652.279516336,0
"Heart failure chronic treatment",2.7,"Tajikistan",2021,485818.722046337,485818.722046337,0
"Heart failure chronic treatment",2.7,"Tajikistan",2022,507218.727387702,507218.727387702,0
"Heart failure chronic treatment",2.7,"Tajikistan",2023,624616.677627714,528992.641156152,95624.0364715612
"Heart failure chronic treatment",2.7,"Tajikistan",2024,752323.80358632,551318.225463027,201005.578123293
"Heart failure chronic treatment",2.7,"Tajikistan",2025,891601.862157094,574600.578307871,317001.283849223
"Heart failure chronic treatment",2.7,"Tajikistan",2026,1054398.25069962,604911.84830267,449486.402396949
"Heart failure chronic treatment",2.7,"Tajikistan",2027,1231540.37447658,635209.374006303,596331.000470273
"Heart failure chronic treatment",2.7,"Tajikistan",2028,1424460.06811643,665966.951311593,758493.116804834
"Heart failure chronic treatment",2.7,"Tajikistan",2029,1634670.75710468,697600.483110152,937070.273994532
"Heart failure chronic treatment",2.7,"Tajikistan",2030,1863137.80702602,730263.306335363,1132874.50069066
"Heart failure acute treatment",3.2,"Tajikistan",2020,3496088.06214499,3496088.06214499,0
"Heart failure acute treatment",3.2,"Tajikistan",2021,3658004.92584612,3658004.92584612,0
"Heart failure acute treatment",3.2,"Tajikistan",2022,3820400.20319282,3820400.20319282,0
"Heart failure acute treatment",3.2,"Tajikistan",2023,4770915.26068469,3983794.56111045,787120.699574242
"Heart failure acute treatment",3.2,"Tajikistan",2024,5802673.71132983,4149124.19550448,1653549.51582535
"Heart failure acute treatment",3.2,"Tajikistan",2025,6925032.19019274,4319672.43889577,2605359.75129697
"Heart failure acute treatment",3.2,"Tajikistan",2026,8246392.19133052,4549548.63823424,3696843.55309628
"Heart failure acute treatment",3.2,"Tajikistan",2027,9685461.56965402,4778339.22535376,4907122.34430026
"Heart failure acute treatment",3.2,"Tajikistan",2028,11254019.8449768,5009978.82767909,6244041.01729775
"Heart failure acute treatment",3.2,"Tajikistan",2029,12964379.4707466,5247827.07854588,7716552.3922007
"Heart failure acute treatment",3.2,"Tajikistan",2030,14823869.1264227,5493038.39721191,9330830.72921079
"Treatment of early-stage breast cancer",4.3,"Tajikistan",2020,5622.55078524498,5622.55078524498,0
"Treatment of early-stage breast cancer",4.3,"Tajikistan",2021,5847.9119667967,5847.9119667967,0
"Treatment of early-stage breast cancer",4.3,"Tajikistan",2022,6084.15915154814,6084.15915154814,0
"Treatment of early-stage breast cancer",4.3,"Tajikistan",2023,10409.1769729362,6330.72751570387,4078.4494572323
"Treatment of early-stage breast cancer",4.3,"Tajikistan",2024,15076.813784999,6585.59610252578,8491.21768247325
"Treatment of early-stage breast cancer",4.3,"Tajikistan",2025,20102.3257202678,6846.73942561308,13255.5862946548
"Treatment of early-stage breast cancer",4.3,"Tajikistan",2026,25459.128191677,7101.94943068821,18357.1787609888
"Treatment of early-stage breast cancer",4.3,"Tajikistan",2027,31162.5874616805,7356.40665521981,23806.1808064607
