"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Heart failure acute treatment",3.2,"Uzbekistan",2023,27163943.7845294,22682350.365533,4481593.41899643
"Heart failure acute treatment",3.2,"Uzbekistan",2024,32884327.1838219,23516140.7174545,9368186.46636736
"Heart failure acute treatment",3.2,"Uzbekistan",2025,39049917.1086594,24363260.8975041,14686656.2111553
"Heart failure acute treatment",3.2,"Uzbekistan",2026,46206114.7215358,25499696.9543948,20706417.7671411
"Heart failure acute treatment",3.2,"Uzbekistan",2027,53924409.9100141,26613046.2376672,27311363.6723468
"Heart failure acute treatment",3.2,"Uzbekistan",2028,62242053.3101133,27717585.1598587,34524468.1502547
"Heart failure acute treatment",3.2,"Uzbekistan",2029,71207187.3737388,28830915.1939621,42376272.1797768
"Heart failure acute treatment",3.2,"Uzbekistan",2030,80856606.3786553,29964922.9976307,50891683.3810245
"Treatment of early-stage breast cancer",4.3,"Uzbekistan",2020,48980.3951631286,48980.3951631286,0
"Treatment of early-stage breast cancer",4.3,"Uzbekistan",2021,50475.2098158595,50475.2098158595,0
"Treatment of early-stage breast cancer",4.3,"Uzbekistan",2022,52048.7588083596,52048.7588083596,0
"Treatment of early-stage breast cancer",4.3,"Uzbekistan",2023,88269.746964343,53684.5244695419,34585.222494801
"Treatment of early-stage breast cancer",4.3,"Uzbekistan",2024,126717.70593838,55356.0699339857,71361.6360043939
"Treatment of early-stage breast cancer",4.3,"Uzbekistan",2025,167458.388198976,57051.7156703904,110406.672528585
"Treatment of early-stage breast cancer",4.3,"Uzbekistan",2026,210213.733815365,58672.223922694,151541.509892671
"Treatment of early-stage breast cancer",4.3,"Uzbekistan",2027,255101.963989478,60272.4328007317,194829.531188746
"Treatment of early-stage breast cancer",4.3,"Uzbekistan",2028,302245.550247942,61878.2735596179,240367.276688324
"Treatment of early-stage breast cancer",4.3,"Uzbekistan",2029,351778.645470826,63505.7902989939,288272.855171833
"Treatment of early-stage breast cancer",4.3,"Uzbekistan",2030,403708.88207838,65144.9895405706,338563.89253781
"Tobacco tax",5.1,"Uzbekistan",2020,0,0,0
"Tobacco tax",5.1,"Uzbekistan",2021,0,0,0
"Tobacco tax",5.1,"Uzbekistan",2022,0,0,0
"Tobacco tax",5.1,"Uzbekistan",2023,2892.45655600404,0,2892.45655600404
"Tobacco tax",5.1,"Uzbekistan",2024,5857.68519531449,0,5857.68519531449
"Tobacco tax",5.1,"Uzbekistan",2025,8891.33420697039,0,8891.33420697039
"Tobacco tax",5.1,"Uzbekistan",2026,11987.1220984533,0,11987.1220984533
"Tobacco tax",5.1,"Uzbekistan",2027,15140.2133264886,0,15140.2133264886
"Tobacco tax",5.1,"Uzbekistan",2028,18347.8221793929,0,18347.8221793929
"Tobacco tax",5.1,"Uzbekistan",2029,21610.2166059878,0,21610.2166059878
"Tobacco tax",5.1,"Uzbekistan",2030,24929.3257547519,0,24929.3257547519
"Alcohol tax",5.2,"Uzbekistan",2020,11102.5035342168,11102.5035342168,0
"Alcohol tax",5.2,"Uzbekistan",2021,11262.8177807422,11262.8177807422,0
"Alcohol tax",5.2,"Uzbekistan",2022,11418.7985762013,11418.7985762013,0
"Alcohol tax",5.2,"Uzbekistan",2023,13016.0545020182,11569.8262240161,1446.22827800202
"Alcohol tax",5.2,"Uzbekistan",2024,14644.1172283709,11715.2897371393,2928.82749123159
"Alcohol tax",5.2,"Uzbekistan",2025,16300.402714763,11854.8260614952,4445.57665326787
"Alcohol tax",5.2,"Uzbekistan",2026,17979.7188339088,11986.4541329316,5993.26470097716
"Alcohol tax",5.2,"Uzbekistan",2027,19680.2915660503,12110.9060191823,7569.38554686796
"Alcohol tax",5.2,"Uzbekistan",2028,21402.2110286254,12229.7697538653,9172.44127476009
"Alcohol tax",5.2,"Uzbekistan",2029,23147.9019729614,12345.4549622392,10802.4470107222
"Alcohol tax",5.2,"Uzbekistan",2030,24920.2235522883,12459.986018852,12460.2375334362
"Tobacco policy",5.3,"Uzbekistan",2020,21372.3193461119,21372.3193461119,0
"Tobacco policy",5.3,"Uzbekistan",2021,21680.9242712907,21680.9242712907,0
"Tobacco policy",5.3,"Uzbekistan",2022,21981.18730315,21981.18730315,0
"Tobacco policy",5.3,"Uzbekistan",2023,36191.8626959764,22271.9155257749,13919.9471702015
"Tobacco policy",5.3,"Uzbekistan",2024,50741.9326311038,22551.9327890971,28189.9998420067
"Tobacco policy",5.3,"Uzbekistan",2025,65609.4335258509,22820.5402140193,42788.8933118316
"Tobacco policy",5.3,"Uzbekistan",2026,80759.8156210933,23073.9242520413,57685.891369052
"Tobacco policy",5.3,"Uzbekistan",2027,96170.5742387043,23313.494133553,72857.0801051514
"Tobacco policy",5.3,"Uzbekistan",2028,111830.591439598,23542.3068232754,88288.2846163229
"Tobacco policy",5.3,"Uzbekistan",2029,127744.921860177,23765.0008498405,103979.921010337
"Tobacco policy",5.3,"Uzbekistan",2030,143925.78918487,23985.4731342611,119940.316050609
"Salt policy",5.5,"Uzbekistan",2020,1265265.9691968,1265265.9691968,0
"Salt policy",5.5,"Uzbekistan",2021,1283535.73690108,1283535.73690108,0
"Salt policy",5.5,"Uzbekistan",2022,1301311.65489421,1301311.65489421,0
"Salt policy",5.5,"Uzbekistan",2023,1373461.56372644,1318523.10117738,54938.4625490578
"Salt policy",5.5,"Uzbekistan",2024,1446363.03724153,1335100.44630926,111262.590932272
"Salt policy",5.5,"Uzbekistan",2025,1519890.50135884,1351002.31584077,168888.18551807
"Salt policy",5.5,"Uzbekistan",2026,1593696.92888517,1366002.94329982,227693.985585347
"Salt policy",5.5,"Uzbekistan",2027,1667770.73662291,1380185.75675177,287584.979871147
"Salt policy",5.5,"Uzbekistan",2028,1742236.22031298,1393731.73203586,348504.488277122
"Salt policy",5.5,"Uzbekistan",2029,1817368.73646514,1406915.47540003,410453.26106511
"Salt policy",5.5,"Uzbekistan",2030,1893430.81862212,1419967.68906533,473463.129556787
"Trans fat policy",5.6,"Uzbekistan",2020,634017.540096265,634017.540096265,0
"Trans fat policy",5.6,"Uzbekistan",2021,643172.416193464,643172.416193464,0
"Trans fat policy",5.6,"Uzbekistan",2022,652079.827025125,652079.827025125,0
"Trans fat policy",5.6,"Uzbekistan",2023,688233.73365791,660704.384311593,27529.3493463164
"Trans fat policy",5.6,"Uzbekistan",2024,724762.761228362,669011.197138078,55751.5640902848
"Trans fat policy",5.6,"Uzbekistan",2025,761603.896874073,676979.533004805,84624.3638692672
"Trans fat policy",5.6,"Uzbekistan",2026,798582.968326,684496.261623946,114086.706702053
"Trans fat policy",5.6,"Uzbekistan",2027,835694.072789846,691603.18832186,144090.884467986
"Trans fat policy",5.6,"Uzbekistan",2028,872999.380847209,698390.999056449,174608.38179076
"Trans fat policy",5.6,"Uzbekistan",2029,910636.770638694,704997.297447859,205639.473190835
"Trans fat policy",5.6,"Uzbekistan",2030,948737.710880208,711537.687059492,237200.023820717
