"Intervention","Code","location_name","year_id","Adjusted","Baseline","incremental.cost"
"Tobacco policy",5.3,"Mongolia",2022,18989.2704867265,18989.2704867265,0
"Tobacco policy",5.3,"Mongolia",2023,20463.6217892845,19259.8793327907,1203.7424564938
"Tobacco policy",5.3,"Mongolia",2024,21960.1530581953,19520.123159156,2440.02989903931
"Tobacco policy",5.3,"Mongolia",2025,23479.4507563171,19772.123006373,3707.32774994408
"Tobacco policy",5.3,"Mongolia",2026,25019.2273987031,20015.2746536181,5003.95274508497
"Tobacco policy",5.3,"Mongolia",2027,26577.5270065434,20249.3415087207,6328.18549782275
"Tobacco policy",5.3,"Mongolia",2028,28155.2169628922,20476.1827798411,7679.03418305108
"Tobacco policy",5.3,"Mongolia",2029,29754.4134561825,20698.2029014904,9056.21055469207
"Tobacco policy",5.3,"Mongolia",2030,31377.3835126545,20917.506017096,10459.8774955585
"Alcohol policy",5.4,"Mongolia",2020,0,0,0
"Alcohol policy",5.4,"Mongolia",2021,0,0,0
"Alcohol policy",5.4,"Mongolia",2022,0,0,0
"Alcohol policy",5.4,"Mongolia",2023,875.449060143671,0,875.449060143671
"Alcohol policy",5.4,"Mongolia",2024,1774.56356042576,0,1774.56356042576
"Alcohol policy",5.4,"Mongolia",2025,2696.23087051237,0,2696.23087051237
"Alcohol policy",5.4,"Mongolia",2026,3639.23065911788,0,3639.23065911788
"Alcohol policy",5.4,"Mongolia",2027,4602.3176026693,0,4602.3176026693
"Alcohol policy",5.4,"Mongolia",2028,5584.77649769553,0,5584.77649769553
"Alcohol policy",5.4,"Mongolia",2029,6586.40506228716,0,6586.40506228716
"Alcohol policy",5.4,"Mongolia",2030,7607.33044119822,0,7607.33044119822
