"HLI_group","Country","iso3","Cumulative deaths averted","Cumulative DALYs averted","Cumulative incremental cost","Total cost (2030)","pop","GGHED"
"All countries","Namibia",NA,14023.1853962091,177880.253508808,301062964.012982,142073888.166053,2587344,488457876.008352
"All countries","Niger",NA,114565.847275398,1829513.9508222,936292898.10469,251052332.31563,25130810,526887150.747926
"All countries","Nigeria",NA,1299650.72111961,22407518.2809547,13489340298.9753,4395044135.21672,211400704,9143264161.57126
"All countries","Rwanda",NA,59593.1614070349,836558.545145985,902343152.873418,236052927.958539,13276517,525249218.035524
"All countries","Senegal",NA,73623.4557780139,1013830.40350819,1284065315.75283,366467100.909932,17196308,366982940.238974
"All countries","Sierra Leone",NA,67106.407070296,1316869.32575724,307574225.80391,85100453.4977656,8141343,142978472.265203
"All countries","Somalia",NA,78551.7132638741,1223655.31305381,553057234.993744,161402339.628821,16359500,0
"All countries","South Africa",NA,481336.514239484,6516103.42414795,9540207189.25225,4986240066.18296,60041996,9922657845.56844
"All countries","South Sudan",NA,52375.3892824263,744089.924134536,519390636.672262,149241153.325228,11381377,0
"All countries","Sudan",NA,363723.722549981,4890988.49340963,2701140151.04655,900980202.36722,44909351,222665351.075363
"All countries","Swaziland",NA,7675.93128691988,114430.845854736,182550435.85163,61414221.7671271,1172369,41631596.0742552
"All countries","Tanzania",NA,236193.708344424,3357462.89780083,4121440233.36994,1119687329.30391,61498438,2854174177.6909
"All countries","The Gambia",NA,12811.6583412676,192887.918279132,102080025.385133,30367130.0538927,2486937,19340263.7720002
"All countries","Togo",NA,57404.4205355162,910090.991505821,450465709.761261,125429134.553913,8478242,77536496.3598677
"All countries","Uganda",NA,176085.574737232,3007864.95678111,2266562383.1675,635336664.637981,47123533,539812388.253363
"All countries","Zambia",NA,76056.8883498086,1050383.1488638,926567861.453559,300339174.786719,18920657,477227593.37519
"All countries","Zimbabwe",NA,82950.3393181979,1148700.52591206,948074476.898408,295597057.675836,15092171,116858601.163642
"All countries","Belize",NA,2101.73063586839,28067.1918796139,61207453.4941704,32014960.3990152,404915,84775506.8093881
"All countries","Maldives",NA,1687.83157600209,17158.1824623548,99441341.7094637,43101773.2477637,543620,349721792.908767
"All countries","Vanuatu",NA,3301.96299198715,36607.4587461649,54678000.0070279,16169622.6209385,314464,29591363.5841361
