"HLI_group","Country","iso3","Cumulative deaths averted","Cumulative DALYs averted","Cumulative incremental cost","Total cost (2030)","pop","GGHED"
"Eurasia and the Mediterranean","Kazakhstan","KAZ",68372.8227032413,774044.590820623,3192653447.35747,2967620042.6271,19002586,5023310842.07575
"Eurasia and the Mediterranean","Kyrgyzstan","KGZ",88242.8907966368,724443.097229783,465219635.687687,173851232.277174,6694200,175570804.888385
"Eurasia and the Mediterranean","Laos","LAO",56030.9664996812,671327.267555426,744469240.614172,263186135.601572,7379358,537646451.894053
"Eurasia and the Mediterranean","Lebanon","LBN",39039.4367823952,364958.469666416,1397489865.30373,819822362.054675,6769151,3570554108.52167
"Eurasia and the Mediterranean","Libya","LBY",51474.7108772506,634732.842024951,1627767064.43288,757922402.003774,6958538,NA
"Eurasia and the Mediterranean","Macedonia","MKD",32521.6463629692,243421.993827376,620739304.564349,294067962.687748,2065092,588263022.929728
"Eurasia and the Mediterranean","Malaysia","MYS",153534.818654999,1972426.19096618,11241473741.4972,5832688528.38981,32776195,11377766495.904
"Eurasia and the Mediterranean","Moldova","MDA",99488.9312487399,652103.78419791,643453058.583691,389528753.547922,2573928,NA
"Eurasia and the Mediterranean","Mongolia","MNG",38250.8278204848,456538.881664188,423448172.716952,171561559.103969,3329282,426400451.377268
"Eurasia and the Mediterranean","Montenegro","MNE",6096.50349241152,59379.4644416288,186094481.918968,111838014.115106,620173,NA
"Eurasia and the Mediterranean","Morocco","MAR",468846.338371858,3967040.57406055,8002231227.61229,2829739324.35233,37344787,3050732226.79802
"Eurasia and the Mediterranean","Myanmar","MMR",534459.994385213,5540070.11714928,4013052521.00946,1474880931.13282,54806014,1568473862.18115
"Eurasia and the Mediterranean","Nepal","NPL",348785.588775117,3600698.38703977,3003911394.48467,830936489.314627,29674920,899334868.601099
"Eurasia and the Mediterranean","North Korea","PRK",489365.530848494,3977710.33233787,1635169259.16674,581282490.050977,25887045,NA
"Eurasia and the Mediterranean","Pakistan","PAK",1690812.13936675,20478236.348725,15748730674.504,5806703510.46835,225199929,3715837605.89404
"Eurasia and the Mediterranean","Papua New Guinea","PNG",97105.2462119254,1251054.56652043,1439486452.98046,452795066.236967,9119005,421391385.460914
"Eurasia and the Mediterranean","Philippines","PHL",1312063.03565708,18618972.4888689,14830741343.7967,5532092566.12223,111046910,16484245085.6141
"Eurasia and the Mediterranean","Romania","ROU",218366.064403136,1628995.05788897,6696023878.6284,4537708351.72644,19115146,17808514902.1413
"Eurasia and the Mediterranean","Russian Federation","RUS",1759452.6591873,15101979.0376923,48047110514.2712,26769780273.1734,143446060,60152951256.1049
"Eurasia and the Mediterranean","Serbia","SRB",93052.3448121877,647272.621227472,2260529570.89205,1538507040.06039,6844078,4144777301.08331
"Eurasia and the Mediterranean","Solomon Islands","SLB",5271.5957178643,67519.705871519,100833914.902176,30263173.9251708,703995,87533152.8577296
"Eurasia and the Mediterranean","Sri Lanka","LKA",197811.437569869,1984053.96628758,5555749554.53788,2099721085.1604,22156000,1613025423.37662
"Eurasia and the Mediterranean","Syria","SYR",211840.785126847,3121566.78905894,2326445477.2554,1007516978.29491,18275704,NA
"Eurasia and the Mediterranean","Tajikistan","TJK",97685.2211210826,1015569.19250398,673737050.074848,239124309.820628,9749625,249535716.526279
"Eurasia and the Mediterranean","Thailand","THA",399378.789987595,3974800.69597908,17459854054.959,9240384801.56119,69950844,22520093702.4083
"Eurasia and the Mediterranean","Timor-Leste","TLS",10153.7114649618,108508.375049397,104992578.213236,33819720.5677654,1343875,109522635.272718
"Eurasia and the Mediterranean","Tunisia","TUN",177377.819802051,1587892.92576873,2730426278.4004,1057382775.73651,11935764,1880759299.01623
"Eurasia and the Mediterranean","Turkey","TUR",270562.430124365,3099979.98455592,19322783984.3021,13673666162.1313,85042736,31442724844.6818
"Eurasia and the Mediterranean","Turkmenistan","TKM",48968.8388252005,514214.578253319,1213699056.29475,635190858.215992,6117933,1658249344.62197
"Eurasia and the Mediterranean","Ukraine","UKR",980749.544000515,6855511.54156554,8673095568.04835,3482894718.94379,43814581,10724297679.9176
"Eurasia and the Mediterranean","Uzbekistan","UZB",402017.766052438,3803499.89866313,3352564489.02277,1354154944.80448,34915100,2244501685.3978
"Eurasia and the Mediterranean","Vietnam","VNM",1176791.48418683,11712698.7732369,14402574514.4862,4977345708.33996,98168829,9915605701.88679
"Eurasia and the Mediterranean","Yemen","YEM",215926.750531175,2593009.71702274,2489106799.39607,921419995.960246,30490639,456280583.777643
"India","India","IND",17381328.7470872,190979420.825172,168109153508.009,58304073074.9171,1393409033,69426501929.8275
"Latin America and the Caribbean","Argentina","ARG",210021.709757867,2496535.1272504,14294212504.245,6874911089.86764,45808747,30183920455.4921
"Latin America and the Caribbean","Bolivia","BOL",79980.8039020176,1294302.72655259,1806210267.27025,660518264.174176,11832936,3650697913.09157
"Latin America and the Caribbean","Brazil","BRA",1588309.0537212,19957786.5034526,45561217318.6364,30091259095.1954,213993441,114020753528.891
"Latin America and the Caribbean","Colombia","COL",425330.782542834,4586121.60141164,10028630933.5556,5968361702.44349,51265841,21240545117.8787
"Latin America and the Caribbean","Costa Rica","CRI",19267.7556101833,330915.036612821,1445461877.01693,1259351155.6805,5139053,3896875924.21741
"Latin America and the Caribbean","Cuba","CUB",72552.4866041004,708085.100328865,3421348436.76283,2406103673.11251,11317498,NA
"Latin America and the Caribbean","Dominican Republic","DOM",99072.8358856121,1115544.29063663,2258579015.92502,1288131576.44099,10953714,4338950617.86298
"Latin America and the Caribbean","Ecuador","ECU",85241.4396559275,1088771.8206024,3455192713.52885,1767130880.78965,17888474,4551806776.77664
"Latin America and the Caribbean","El Salvador","SLV",40955.0643193117,518697.901536785,979031049.022533,478611683.038294,6518500,1131942106.40458
"Latin America and the Caribbean","Guatemala","GTM",80611.4645815131,1147623.46460843,4218570592.35397,1472215587.21302,17109746,3688366685.63305
"Latin America and the Caribbean","Guyana","GUY",8766.39936117742,117941.458118069,240744219.371908,126336659.005943,790329,897105268.111848
"Latin America and the Caribbean","Haiti","HTI",253400.987037696,4318987.8043224,1372367409.18446,405646003.669026,11541683,284534287.047748
"Latin America and the Caribbean","Honduras","HND",58387.5079825781,709737.624544504,1056678395.15248,483780147.874078,10062994,866634250.904843
"Latin America and the Caribbean","Jamaica","JAM",27512.9551102211,251218.138434454,582674789.305202,335416610.415234,2973462,946727410.658617
"Latin America and the Caribbean","Mexico","MEX",1184171.90508601,13431039.6090628,42768440447.1576,23236050133.894,130262220,46008836444.759
"Latin America and the Caribbean","Nicaragua","NIC",51894.0740234925,819360.647412964,593056088.939534,284806196.522285,6702379,505095492.206182
"Latin America and the Caribbean","Panama","PAN",18669.0431007193,265941.494715376,1694817300.08182,1019451302.63518,4381583,5375428312.9157
"Latin America and the Caribbean","Paraguay","PRY",45785.1127806137,673432.752940418,1351716541.78529,589949723.799504,7219641,2230430818.81676
"Latin America and the Caribbean","Peru","PER",169549.569042646,2042181.21352576,7008479943.44901,3150351624.29007,33359416,15459053614.9842
"Latin America and the Caribbean","Suriname","SUR",6111.26702402047,68406.4321115224,148332539.183123,81710964.9606059,591798,253816045.405283
"Latin America and the Caribbean","Venezuela","VEN",260150.852635008,2594577.13828834,6615177642.39485,4533092659.59297,28704947,671951299.719586
"Sub-Saharan Africa","Angola","AGO",142441.94404255,1886228.57423342,2273240413.12463,925985349.00503,33933611,889688493.198643
"Sub-Saharan Africa","Benin","BEN",76142.2696969555,1332579.34864393,783754955.280215,228510983.963613,12451031,211902163.900935
"Sub-Saharan Africa","Botswana","BWA",11143.1949923085,136277.010973536,491868499.002978,234448966.51463,2397240,507942783.677844
"Sub-Saharan Africa","Burkina Faso","BFA",112720.503491126,1753694.28787116,934112246.711973,264274968.258269,21497097,685431553.891943
"Sub-Saharan Africa","Burundi","BDI",65259.3708916257,1143553.19383443,407876524.609315,118679721.786113,12255429,124418385.849659
"Sub-Saharan Africa","Cameroon","CMR",173504.382194396,3004755.31250115,1627993970.75345,495900337.206318,27224262,468477113.643532
"Sub-Saharan Africa","Cape Verde","CPV",3715.24476910822,45467.3627125381,82841393.0435459,29775546.9408821,561901,80813776.715319
"Sub-Saharan Africa","Central African Republic","CAF",32395.4085932494,448014.083920766,209670779.560932,57515975.0121219,4919987,28404571.392892
"Sub-Saharan Africa","Chad","TCD",88874.5687100172,1723146.33741203,621982394.03966,180376436.404461,16914985,179736670.050645
"Sub-Saharan Africa","Comoros","COM",5192.83736004066,79672.3199992467,65344458.9781231,18659279.646752,888456,11475755.319667
"Sub-Saharan Africa","Congo","COG",31848.7205253624,385469.486591306,458304733.679542,146834801.364858,5657017,76155938.57875
"Sub-Saharan Africa","Cote d'Ivoire","CIV",170012.250777958,3212553.34763841,2251242936.22783,707362955.947742,27053629,1622154334.87098
"Sub-Saharan Africa","Democratic Republic of the Congo","COD",528860.896545002,8249719.25265564,3835337270.28771,1124311083.92986,92377986,437340493.370411
"Sub-Saharan Africa","Equatorial Guinea","GNQ",7409.60779494382,126736.826723066,234595647.441151,92911724.0688381,1449891,118056275.262124
"Sub-Saharan Africa","Eritrea","ERI",23549.1288058082,272585.073432616,177024596.975462,49982631.9107981,3213969,14333781.9071253
"Sub-Saharan Africa","Ethiopia","ETH",522034.077714496,7196398.06545483,6085420507.0619,1646102791.6257,117876226,1656726219.99187
"Sub-Saharan Africa","Gabon","GAB",10702.0223303062,123714.453677118,494384302.021582,203538732.250826,2278829,338608693.337966
"Sub-Saharan Africa","Ghana","GHA",174520.083776112,2695273.82663613,2512907663.99303,896518725.199082,31732128,702389081.754584
"Sub-Saharan Africa","Guinea","GIN",78450.5121149787,1137102.14680565,687833969.577944,196080422.083421,13497237,284205298.240511
"Sub-Saharan Africa","Guinea-Bissau","GNB",11176.8905895242,159629.771883143,89073962.1265064,26188951.7084807,2015490,20113896.33038
"Sub-Saharan Africa","Kenya","KEN",207438.282943799,3316811.93062671,3800126659.05305,1177732061.14364,54985702,5290784978.26286
"Sub-Saharan Africa","Lesotho","LSO",23188.8707524669,344576.001456199,128444640.2934,46436598.6875504,2159067,87898493.0827582
"Sub-Saharan Africa","Liberia","LBR",24542.9554110363,354570.591292697,214392090.004633,64214936.8137587,5180208,95968611.5586951
"Sub-Saharan Africa","Madagascar","MDG",176018.739758099,2316395.64136832,1459383006.49365,398738253.54502,28427333,501724072.061488
"Sub-Saharan Africa","Malawi","MWI",68816.8314330672,983822.522643154,869488333.208287,252581643.739699,19647681,265617560.285116
"Sub-Saharan Africa","Mali","MLI",94604.4977794312,1468860.395755,789505515.609728,245573754.578451,20855724,713841491.110379
"Sub-Saharan Africa","Mauritania","MRT",22476.039928749,376754.461352036,323970931.796139,105610611.847353,4775110,288637664.901932
"Sub-Saharan Africa","Mauritius","MUS",9626.84755844846,132129.35086447,436704493.410991,340216920.913667,1266060,514937907.463898
"Sub-Saharan Africa","Mozambique","MOZ",177942.375863333,2669959.1849368,1419242341.87018,387485041.745839,32163045,683245334.572368
"Sub-Saharan Africa","Namibia","NAM",14023.1853962091,177880.253508808,301062964.012982,142073888.166053,2587344,488457876.008352
"Sub-Saharan Africa","Niger","NER",114565.847275398,1829513.9508222,936292898.10469,251052332.31563,25130810,526887150.747926
"Sub-Saharan Africa","Nigeria","NGA",1299650.72111961,22407518.2809547,13489340298.9753,4395044135.21672,211400704,9143264161.57126
"Sub-Saharan Africa","Rwanda","RWA",59593.1614070349,836558.545145985,902343152.873418,236052927.958539,13276517,525249218.035524
"Sub-Saharan Africa","Senegal","SEN",73623.4557780139,1013830.40350819,1284065315.75283,366467100.909932,17196308,366982940.238974
