"HLI_group","location_name","iso3","Cumulative deaths averted","Cumulative DALYs averted","Cumulative incremental cost","Total cost (2030)","pop","GGHED"
"Eurasia and the Mediterranean","Solomon Islands","SLB",4978.48191232232,61414.2355477681,26977571.9415704,9080753.78200698,703995,87533152.8577296
"Eurasia and the Mediterranean","Sri Lanka","LKA",184686.749555887,1817549.11943496,2224095006.78988,786721883.06662,22156000,1613025423.37662
"Eurasia and the Mediterranean","Syria","SYR",207021.819401183,2829452.69327005,990368581.60475,442307482.430575,18275704,NA
"Eurasia and the Mediterranean","Tajikistan","TJK",94974.2005567232,926524.329950135,282587172.996436,111864893.208256,9749625,249535716.526279
"Eurasia and the Mediterranean","Thailand","THA",372230.842806368,3423807.59761017,5775882489.39553,3709894946.80192,69950844,22520093702.4083
"Eurasia and the Mediterranean","Timor-Leste","TLS",9247.88518400239,96293.3683510627,29693998.6460095,10609464.3937415,1343875,109522635.272718
"Eurasia and the Mediterranean","Tunisia","TUN",173816.645219674,1513529.79794253,1183441334.6375,466543132.141682,11935764,1880759299.01623
"Eurasia and the Mediterranean","Turkey","TUR",257972.353520628,2830494.86738229,6869917929.27175,5814529137.60596,85042736,31442724844.6818
"Eurasia and the Mediterranean","Turkmenistan","TKM",47744.0848943256,477611.635544381,380366607.858181,254027103.774454,6117933,1658249344.62197
"Eurasia and the Mediterranean","Ukraine","UKR",967437.891631123,6657770.24839347,6189791763.74485,2348969070.44471,43814581,10724297679.9176
"Eurasia and the Mediterranean","Uzbekistan","UZB",389983.637893815,3479794.38292565,1572864863.76689,681877368.129427,34915100,2244501685.3978
"Eurasia and the Mediterranean","Vietnam","VNM",1127212.20959067,10694328.155681,6167613783.88256,2255682214.65856,98168829,9915605701.88679
"Eurasia and the Mediterranean","Yemen","YEM",179063.318515407,2096365.54648302,721233259.337544,283231122.625991,30490639,456280583.777643
"India","India","IND",16672077.8988321,178297872.346651,63449658174.0898,23631289400.0335,1393409033,69426501929.8275
"Latin America and the Caribbean","Argentina","ARG",202826.289535081,2326655.55193241,5039178155.73963,2948758683.30487,45808747,30183920455.4921
"Latin America and the Caribbean","Bolivia","BOL",75423.5859417031,1130507.18743256,471497344.512403,193253890.523942,11832936,3650697913.09157
"Latin America and the Caribbean","Brazil","BRA",1551635.26607804,19104871.8161755,20503185153.4128,13346471089.6938,213993441,114020753528.891
"Latin America and the Caribbean","Colombia","COL",411308.690135695,4113950.11870433,2410674246.03233,1800254736.29754,51265841,21240545117.8787
"Latin America and the Caribbean","Costa Rica","CRI",18557.1263520573,317411.561574203,758922884.707916,504624371.941792,5139053,3896875924.21741
"Latin America and the Caribbean","Cuba","CUB",68324.4660151573,605674.790396407,1082854091.94144,878338492.589747,11317498,NA
"Latin America and the Caribbean","Dominican Republic","DOM",96677.4554470363,1043757.00388847,696141517.656116,524272338.052402,10953714,4338950617.86298
"Latin America and the Caribbean","Ecuador","ECU",79795.4759476589,936342.03457241,741453801.937625,490014912.866801,17888474,4551806776.77664
"Latin America and the Caribbean","El Salvador","SLV",39413.2797715491,481614.984323798,509980018.006312,191575521.396514,6518500,1131942106.40458
"Latin America and the Caribbean","Guatemala","GTM",74022.3894445808,963481.727753308,1072060146.99805,378395435.874111,17109746,3688366685.63305
"Latin America and the Caribbean","Guyana","GUY",8458.29497407448,112341.016974791,89388886.2192086,50662587.2195562,790329,897105268.111848
"Latin America and the Caribbean","Haiti","HTI",241655.264871845,4017415.86934004,677949646.99439,192781460.884244,11541683,284534287.047748
"Latin America and the Caribbean","Honduras","HND",55177.978166127,616037.937834606,287716059.56234,136929755.217791,10062994,866634250.904843
"Latin America and the Caribbean","Jamaica","JAM",24901.9751182228,218562.440695781,106304102.378256,81943764.0001751,2973462,946727410.658617
"Latin America and the Caribbean","Mexico","MEX",1117728.35069386,12458222.1185949,14301353805.683,7805332971.21031,130262220,46008836444.759
"Latin America and the Caribbean","Nicaragua","NIC",50241.8857659205,781616.576821673,303074099.020774,118066812.875986,6702379,505095492.206182
"Latin America and the Caribbean","Panama","PAN",17939.6239508866,252573.022548393,678712137.661111,388683062.441748,4381583,5375428312.9157
"Latin America and the Caribbean","Paraguay","PRY",41572.7310241035,569559.783776634,384649623.424205,203402288.888627,7219641,2230430818.81676
"Latin America and the Caribbean","Peru","PER",162385.434254162,1792086.30120247,1688665635.78413,989013565.655814,33359416,15459053614.9842
"Latin America and the Caribbean","Suriname","SUR",5816.2050144302,62313.2279338946,35576283.2475446,25180580.5454788,591798,253816045.405283
"Latin America and the Caribbean","Venezuela","VEN",253169.684908062,2539672.02785624,2855356444.42636,1772863142.35783,28704947,671951299.719586
"Sub-Saharan Africa","Angola","AGO",132589.546759157,1621106.93055031,617145971.278454,332090609.962255,33933611,889688493.198643
"Sub-Saharan Africa","Benin","BEN",69862.899028237,1167510.70848933,338881044.845214,97792980.0233858,12451031,211902163.900935
"Sub-Saharan Africa","Botswana","BWA",10527.7919505309,122992.00243024,125393526.220993,76129031.6446857,2397240,507942783.677844
"Sub-Saharan Africa","Burkina Faso","BFA",100873.652223158,1525040.79387496,340799257.85281,92863954.5706409,21497097,685431553.891943
"Sub-Saharan Africa","Burundi","BDI",51329.8077188226,801268.603838224,161928795.835864,42046839.7337737,12255429,124418385.849659
"Sub-Saharan Africa","Cameroon","CMR",162484.811182268,2724528.1749372,638132560.665095,213518417.205359,27224262,468477113.643532
"Sub-Saharan Africa","Cape Verde","CPV",3559.77121621761,41962.3601751048,32365711.3785516,12091676.043894,561901,80813776.715319
"Sub-Saharan Africa","Central African Republic","CAF",27739.7901261039,357422.045802223,62679034.862505,16592811.7778704,4919987,28404571.392892
"Sub-Saharan Africa","Chad","TCD",79138.1702882583,1508247.5421729,225533877.888534,62265676.5014203,16914985,179736670.050645
"Sub-Saharan Africa","Comoros","COM",4844.74660273469,70588.7705121885,34942977.339263,9844865.00582696,888456,11475755.319667
"Sub-Saharan Africa","Congo","COG",30228.8330052909,348790.938335589,164820202.300871,58005074.1150028,5657017,76155938.57875
"Sub-Saharan Africa","Cote d'Ivoire","CIV",159778.265595556,2899125.04104381,858120757.703386,296854134.168467,27053629,1622154334.87098
"Sub-Saharan Africa","Democratic Republic of the Congo","COD",456177.893211493,6555152.65855586,1278055011.60191,353301513.726251,92377986,437340493.370411
"Sub-Saharan Africa","Equatorial Guinea","GNQ",7030.15210958539,117932.6077546,98470913.3142492,44488918.5862917,1449891,118056275.262124
"Sub-Saharan Africa","Eritrea","ERI",20574.3538996465,229970.079501714,72231624.9536257,19088169.1358734,3213969,14333781.9071253
"Sub-Saharan Africa","Ethiopia","ETH",450269.049330759,5889232.83218815,2654708887.54317,702780418.230099,117876226,1656726219.99187
"Sub-Saharan Africa","Gabon","GAB",10063.7140647169,108879.567472373,120739786.23106,64007421.598969,2278829,338608693.337966
"Sub-Saharan Africa","Ghana","GHA",163441.090820211,2403338.14841329,941510495.976025,361199122.350185,31732128,702389081.754584
"Sub-Saharan Africa","Guinea","GIN",74319.7452223625,1039682.83769096,322250781.160786,91037589.7238881,13497237,284205298.240511
"Sub-Saharan Africa","Guinea-Bissau","GNB",9966.89317807111,139075.882299944,33472891.0518329,9180577.25486264,2015490,20113896.33038
"Sub-Saharan Africa","Kenya","KEN",181019.759051401,2769497.26092106,1397242000.54293,488787892.533747,54985702,5290784978.26286
"Sub-Saharan Africa","Lesotho","LSO",21727.9293944002,309837.148856695,48681652.5561767,20019257.0168157,2159067,87898493.0827582
"Sub-Saharan Africa","Liberia","LBR",21928.0575862076,306772.11679289,86216022.4581208,23861204.6060546,5180208,95968611.5586951
"Sub-Saharan Africa","Madagascar","MDG",158060.86230743,2037328.54452515,678215774.10829,178617845.580908,28427333,501724072.061488
"Sub-Saharan Africa","Malawi","MWI",53217.1657859064,701697.551657153,315329741.729018,81711004.5773758,19647681,265617560.285116
"Sub-Saharan Africa","Mali","MLI",85747.697995836,1295471.83710195,298575136.215318,86259809.791815,20855724,713841491.110379
"Sub-Saharan Africa","Mauritania","MRT",21086.4939292107,335341.880523057,149585954.742345,53389149.1439361,4775110,288637664.901932
"Sub-Saharan Africa","Mauritius","MUS",8901.41303771154,121847.687371744,137814422.573972,99442583.4377535,1266060,514937907.463898
"Sub-Saharan Africa","Mozambique","MOZ",155869.696668365,2259239.05768757,583749853.701399,154166548.029297,32163045,683245334.572368
"Sub-Saharan Africa","Namibia","NAM",13335.1402041974,159552.69008751,76520452.0184583,46524914.5598695,2587344,488457876.008352
