"HLI_group","location_name","iso3","Cumulative deaths averted","Cumulative DALYs averted","Cumulative incremental cost","Total cost (2030)","pop","GGHED"
"All countries","Rwanda",NA,52665.6028831461,702604.579075118,388133156.163176,100150641.661733,13276517,525249218.035524
"All countries","Senegal",NA,64352.8562286019,860145.850642619,458051059.060341,123284979.688428,17196308,366982940.238974
"All countries","Sierra Leone",NA,58343.7235907982,1143906.01738727,117904630.896158,31669470.2764534,8141343,142978472.265203
"All countries","Somalia",NA,65141.0413306481,959225.028368655,239989943.394988,65361845.7503148,16359500,0
"All countries","South Africa",NA,454394.900677633,5932239.96686945,3250478047.99522,2013595269.6042,60041996,9922657845.56844
"All countries","South Sudan",NA,45760.8505951026,626844.669400562,233206737.979239,62599353.863762,11381377,0
"All countries","Sudan",NA,296800.627113559,3868434.52367535,803231040.191248,298044603.689672,44909351,222665351.075363
"All countries","Swaziland",NA,7106.20737811616,101752.860270449,58930600.2408045,21892511.2039667,1172369,41631596.0742552
"All countries","Tanzania",NA,210056.117169111,2878468.65185597,1885273051.2976,495723361.15227,61498438,2854174177.6909
"All countries","The Gambia",NA,11478.2754633897,169970.247541985,40791997.9713346,11323377.2275351,2486937,19340263.7720002
"All countries","Togo",NA,54108.4077093792,818848.027938914,224772132.636223,62948553.3046107,8478242,77536496.3598677
"All countries","Uganda",NA,157310.070179512,2618490.86319883,940703746.149261,250628932.541966,47123533,539812388.253363
"All countries","Zambia",NA,69500.8078850595,920463.520940658,323543312.949411,115632510.318444,18920657,477227593.37519
"All countries","Zimbabwe",NA,79181.547266843,1047564.06978387,356722538.990597,111483844.15641,15092171,116858601.163642
"All countries","Belize",NA,1972.7796957929,24265.601171707,17138624.7903998,11974851.2748968,404915,84775506.8093881
"All countries","Maldives",NA,1618.01213501265,15381.0858741549,31603322.6926903,16933064.0271222,543620,349721792.908767
"All countries","Vanuatu",NA,3137.98970594308,33877.5840812212,14221601.3570818,4681249.27405386,314464,29591363.5841361
