"HLI_group","Code","DALYs.averted","Incremental.cost","ICER"
"India",2.9,441910.020389634,826711874.799463,1870.76969666935
"India",3.1,4431862.63565207,2455722811.23194,554.106255793423
"India",3.2,10944200.6461612,2189240878.61305,200.036617510384
"India",3.3,729884.710542643,963114025.749725,1319.54267823159
"India",3.4,7163358.04277221,3000689166.05142,418.894204105727
"India",3.6,597023.849008833,673394150.965429,1127.91834377033
"India",3.7,242332.842090434,898899872.364186,3709.36050025252
"India",3.8,523203.236949011,4170496562.20362,7971.0832572889
"India",3.9,27232.5421482985,27336805.9438277,1003.82864717372
"India",4.1,447287.789723948,1893764809.33698,4233.88443155525
"India",4.2,76478.3091957178,140820241.525577,1841.30955569637
"India",4.3,107538.392137607,9527996.81311498,88.6008859135896
"India",4.4,87139.6980402055,78965353.0364745,906.192640236607
"India",5.1,16515833.2779571,7764763.70048589,0.470140595984895
"India",5.2,693615.395861115,7764763.70048589,11.1946242064682
"India",5.3,2801829.84856194,22420755.185153,8.00218300074883
"India",5.4,1523210.84225834,10870669.1806802,7.13668054290051
"India",5.5,0,0,NA
"India",5.6,1754973.33885929,4222090.2621392,2.40578598469394
"Latin America and the Caribbean",1.1,1133674.35429077,1758293.16638489,1.5509684590906
"Latin America and the Caribbean",1.2,62007.6222175091,87185041.4910935,1406.03748979871
"Latin America and the Caribbean",2.1,102163.60193725,111135363.451393,1087.81759201925
"Latin America and the Caribbean",2.11,96363.8154909743,4294787319.57,44568.4648089953
"Latin America and the Caribbean",2.12,154279.633969034,1288209640.35641,8349.83599076318
"Latin America and the Caribbean",2.13,1727323.69242796,173353777.542272,100.359752084801
"Latin America and the Caribbean",2.14,159439.28185523,1646509549.32911,10326.8750973435
"Latin America and the Caribbean",2.3,1439076.62697323,36228259711.0673,25174.6564651426
"Latin America and the Caribbean",2.4,4726239.20306001,3739011897.28017,791.11778660279
"Latin America and the Caribbean",2.5,311105.914082592,4440916.8881638,14.2746141655952
"Latin America and the Caribbean",2.6,3304667.70444414,5021163738.31068,1519.41562280473
"Latin America and the Caribbean",2.7,2294609.15664772,518357808.828967,225.902440651921
"Latin America and the Caribbean",2.9,266966.57117168,1310508418.11939,4908.88582929222
"Latin America and the Caribbean",3.1,1228696.21732653,993600551.704434,808.66249744495
"Latin America and the Caribbean",3.2,5509276.93403943,4342666482.17919,788.246177161243
"Latin America and the Caribbean",3.3,696014.577642077,1369487581.46888,1967.61335963446
