measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Nigeria,Both,Age-standardized,Lip and oral cavity cancer,Rate,2019,0.7545748754705947,0.9219710590295499,0.6026468477747873
Deaths,Nigeria,Both,Age-standardized,Pancreatic cancer,Rate,2019,4.266153669426378,5.2452001401029404,3.3387041262114163
Deaths,Nigeria,Both,Age-standardized,Kidney cancer,Rate,2019,0.8340251094829592,1.0833900244890116,0.6335153187483153
Deaths,Nigeria,Both,Age-standardized,Bladder cancer,Rate,2019,1.2111221748858185,1.5125211736511974,0.9781563120251192
Deaths,Nepal,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,2019,8.61718067853737,11.18490862279178,6.312488764685209
Deaths,Nepal,Both,Age-standardized,Breast cancer,Rate,2019,9.62752541778811,12.693988368826684,7.147998023016272
Deaths,Nepal,Both,Age-standardized,Cervical cancer,Rate,2019,4.322014133553474,6.186373818218125,2.6807343413510525
Deaths,Nepal,Both,Age-standardized,Prostate cancer,Rate,2019,4.315727646066338,6.358531728235567,2.6041155968602987
Deaths,Nepal,Both,Age-standardized,Colon and rectum cancer,Rate,2019,5.397854288065502,7.422400095869062,3.8876073422566617
Deaths,Nepal,Both,Age-standardized,Lip and oral cavity cancer,Rate,2019,4.596066645693731,5.622499142469314,3.5685287887030532
Deaths,Nepal,Both,Age-standardized,Pancreatic cancer,Rate,2019,2.994577214926416,4.421384152885454,1.7852158879867874
Deaths,Niger,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,2019,9.895706403007129,14.135848994086247,6.292552729355483
Deaths,Niger,Both,Age-standardized,Breast cancer,Rate,2019,5.829112762180752,8.478354934622834,4.043032836205632
Deaths,Niger,Both,Age-standardized,Cervical cancer,Rate,2019,12.175798024342873,16.426007006725705,8.56382883549042
Deaths,Niger,Both,Age-standardized,Prostate cancer,Rate,2019,13.308919699147578,18.52558259592547,8.286351705452402
Deaths,Niger,Both,Age-standardized,Colon and rectum cancer,Rate,2019,5.624689916386117,7.505588940749447,4.236935666590114
Deaths,Zimbabwe,Both,Age-standardized,Pancreatic cancer,Rate,2019,8.063223761558307,10.228152350932104,6.2437991562771895
Deaths,Eswatini,Both,Age-standardized,"Tracheal, bronchus, and lung cancer",Rate,2019,18.711461393393776,26.06795651445392,11.72239094524846
Deaths,Eswatini,Both,Age-standardized,Breast cancer,Rate,2019,14.821084733024607,21.122849528654214,9.566082003282887
Deaths,Eswatini,Both,Age-standardized,Cervical cancer,Rate,2019,16.144173935499712,27.21591226210853,8.50230752840796
Deaths,Eswatini,Both,Age-standardized,Prostate cancer,Rate,2019,16.268588909840254,20.628836974969918,11.549224669452299
Deaths,Eswatini,Both,Age-standardized,Colon and rectum cancer,Rate,2019,13.520079319252591,18.22634227965179,9.322111655500604
Deaths,Eswatini,Both,Age-standardized,Lip and oral cavity cancer,Rate,2019,3.347420161047749,4.515303242649297,2.384853204303597
Deaths,Eswatini,Both,Age-standardized,Pancreatic cancer,Rate,2019,8.184825072999795,11.22831256751578,5.653199144767215
Deaths,Eswatini,Both,Age-standardized,Kidney cancer,Rate,2019,1.8013638195561201,2.569690225148587,1.2621378949906694
Deaths,Pakistan,Both,Age-standardized,Bladder cancer,Rate,2019,6.415491641195207,8.0865552193834,5.032251511151362
Deaths,Ethiopia,Both,Age-standardized,Esophageal cancer,Rate,2019,2.8688378348393373,4.030643709506745,2.2395348183436643
Deaths,Ethiopia,Both,Age-standardized,Stomach cancer,Rate,2019,6.640895890628101,8.342290638442236,5.447492602982864
Deaths,Ethiopia,Both,Age-standardized,Liver cancer,Rate,2019,3.0155800753917585,3.8397384547164854,2.4019146251269134
