"iso3","year","sex","age","all_mxn","ncd_mxn","ncd_frac"
"ARE",2040,1,60,0.00518371012880596,3.99258643235387e-06,0.00077021791981905
"ARE",2040,2,60,0.00313341574999681,0.00119396805481118,0.381043611851506
"ARE",2040,1,65,0.00929890642254675,6.46075145976864e-06,0.000694786157230647
"ARE",2040,2,65,0.00557496296974559,0.00192049875561279,0.344486369870979
"ARE",2040,1,70,0.0168336377326327,0.00207797430467356,0.123441785885966
"ARE",2040,2,70,0.0104902043940845,0.000205438109389366,0.0195838042493446
"ARE",2040,1,75,0.0302852534316417,0.00340340231771622,0.112378201668287
"ARE",2040,2,75,0.0203176595980373,0.000244312316964265,0.0120246289089254
"ARE",2040,1,80,0.055770290399587,0.00563968149776146,0.10112340203635
"ARE",2040,2,80,0.0406741302582952,0.000555883256186393,0.0136667521261386
"ARE",2040,1,85,0.12337263206914,0.100905757005802,0.817894174043826
"ARE",2040,2,85,0.10217466977876,0.0165435363143481,0.161914262607063
"ARG",2040,1,0,0.00301165986297673,0.00136514492680827,0.453286555892456
"ARG",2040,2,0,0.00260196328615742,0.00117423312725577,0.451287354246215
"ARG",2040,1,1,7.30647977622649e-05,4.09753413625672e-05,0.560808249902928
"ARG",2040,2,1,6.12800436753227e-05,3.58772337948104e-05,0.585463580687004
"ARG",2040,1,5,2.50615812305381e-05,1.41945017873258e-05,0.566384924269242
"ARG",2040,2,5,2.2806606e-05,1.34836094138439e-05,0.591215081009592
"ARG",2040,1,10,3.73741310664128e-05,1.83999959950418e-05,0.492319031105915
"ARG",2040,2,10,2.7687547e-05,1.59702818250519e-05,0.576803782041503
"ARG",2040,1,15,0.000111566086339499,2.26086200786294e-05,0.202647783214611
"ARG",2040,2,15,5.8842656e-05,2.19099222759023e-05,0.372347609120538
"ARG",2040,1,20,0.000196182232047555,3.58518548044949e-05,0.182747715887973
"ARG",2040,2,20,8.7705324e-05,3.60380248973046e-05,0.410898942660591
"ARG",2040,1,25,0.000243907948110629,5.8225639091802e-05,0.238719728253352
"ARG",2040,2,25,0.000110237354644283,5.43605717335218e-05,0.493122970057963
"ARG",2040,1,30,0.000320800827355355,0.000119946328826361,0.373896569454588
"ARG",2040,2,30,0.000158066210965495,0.000103630876314299,0.655616881566937
"ARG",2040,1,35,0.000487511858521928,0.00023832883982193,0.488867779636195
"ARG",2040,2,35,0.000259738175308908,0.000192381487315129,0.740674670122437
"ARG",2040,1,40,0.000866219286003595,0.000534182895896043,0.616683216972182
"ARG",2040,2,40,0.000463802940589813,0.000370055779976407,0.797872862784809
"ARG",2040,1,45,0.00165651036640331,0.00105491470463086,0.636829521883005
"ARG",2040,2,45,0.000841592222262306,0.000645938980859912,0.767520140720344
"ARG",2040,1,50,0.00303686092495555,0.00221202819054426,0.728392983809964
"ARG",2040,2,50,0.00151356279706076,0.00123392302587426,0.815244024410783
"ARG",2040,1,55,0.00512348059726659,0.00399150974999676,0.779062138368642
"ARG",2040,2,55,0.00254020898361685,0.00211111562689543,0.831079505863939
"ARG",2040,1,60,0.00850559729338419,0.00696543587855253,0.818923779047283
"ARG",2040,2,60,0.00417614828681696,0.00362786049600831,0.868709692962902
"ARG",2040,1,65,0.0141451021127664,0.0116748386011542,0.825362624326145
"ARG",2040,2,65,0.00710638195613892,0.00612928278992242,0.862503989759174
"ARG",2040,1,70,0.0239127170215923,0.0193372637811614,0.808660252354451
"ARG",2040,2,70,0.0130782362752739,0.0106678013803393,0.815691134171369
"ARG",2040,1,75,0.0381030486685996,0.030106347036264,0.790129611362947
"ARG",2040,2,75,0.0211081393307817,0.016820577000189,0.796876348814877
"ARG",2040,1,80,0.0606899052308377,0.0464914209202395,0.766048665645574
"ARG",2040,2,80,0.0351840258173183,0.027208684777396,0.773324943503291
"ARG",2040,1,85,0.113595019881635,0.084943609683655,0.747775824786734
"ARG",2040,2,85,0.088892251,0.0631672906945001,0.710605142561865
"AUS",2040,1,0,0.000951665468191188,0.000351462875401782,0.369313469017427
"AUS",2040,2,0,0.000756053927831989,0.000263209353073273,0.348135686336601
"AUS",2040,1,1,4.8581296e-05,1.73381320845945e-05,0.35688903986
"AUS",2040,2,1,4.8581296e-05,1.75900039194533e-05,0.362073583204807
"AUS",2040,1,5,2.2806606e-05,1.40444056098902e-05,0.615804281000435
"AUS",2040,2,5,2.2806606e-05,1.60446069199872e-05,0.703506997928021
"AUS",2040,1,10,2.7687547e-05,1.44153663614798e-05,0.520644402390714
"AUS",2040,2,10,2.7687547e-05,1.57245792185853e-05,0.567929662334668
"AUS",2040,1,15,0.000101616468045169,2.07604539591676e-05,0.204302062043128
"AUS",2040,2,15,5.8842656e-05,2.42874014648103e-05,0.412751617887715
"AUS",2040,1,20,0.000175861339672652,4.01696972567105e-05,0.228416872812878
"AUS",2040,2,20,8.7705324e-05,3.96340258951343e-05,0.45189988574849
"AUS",2040,1,25,0.000186041798998537,6.04197684084213e-05,0.324764481603924
"AUS",2040,2,25,9.8944918e-05,5.43220039164439e-05,0.549012571989235
"AUS",2040,1,30,0.000229491565032036,0.000124793263680065,0.543781483483474
"AUS",2040,2,30,0.00013651677,9.37912844033231e-05,0.687031229960415
"AUS",2040,1,35,0.000341976662015335,0.000216647682388103,0.63351598647509
"AUS",2040,2,35,0.00022466527,0.000172952403815364,0.769822606829101
"AUS",2040,1,40,0.000554084640161835,0.000384336509345448,0.693642237101523
