"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"119","Laos","LMIC","East and South East Asia","LAO","East and South East Asia","LMIC","Adjusted",68549168.7800925,75984104.2270313,83872872.4864941,92426373.0955702,101389913.221777,110787397.447691,120658002.751594,131033204.45408,784701036.46433
"120","Laos","LMIC","East and South East Asia","LAO","East and South East Asia","LMIC","Baseline",63491985.7910523,65501483.9347282,67543547.7890087,69738646.9541654,71929111.4623357,74131690.8271424,76371345.9512105,78665317.2122022,567373129.921845
"121","Lebanon","UMIC","Central Asia, Middle East and North Africa","LBN","Central Asia, Middle East and North Africa","UMIC","Adjusted",398714879.504967,411946037.748573,426822130.337622,441668600.876357,458724376.249182,477838110.614647,498491159.15542,520405736.202089,3634611030.68886
"122","Lebanon","UMIC","Central Asia, Middle East and North Africa","LBN","Central Asia, Middle East and North Africa","UMIC","Baseline",391652094.167496,397471418.138926,404393605.254501,410665942.240259,418518705.102062,427728975.180072,437765302.18815,448335679.973184,3336531722.24465
"123","Lesotho","LMIC","Sub-Saharan Africa","LSO","Sub-Saharan Africa","LMIC","Adjusted",12916873.8743934,13195341.2777302,13484799.7577956,13797155.3249362,14110243.9277048,14425560.5102716,14746768.5653045,15077042.1371114,111753785.375248
"124","Lesotho","LMIC","Sub-Saharan Africa","LSO","Sub-Saharan Africa","LMIC","Baseline",12914937.7916152,13193384.7846322,13482821.6812224,13795154.5232085,14108219.6951451,14423512.2428417,14744695.7873758,15074944.393945,111737670.899986
"125","Liberia","LIC","Sub-Saharan Africa","LBR","Sub-Saharan Africa","LIC","Adjusted",10626832.4783573,12223822.6131999,13927098.1364204,15769267.2319951,17728148.0961475,19806350.5878887,22003854.5228597,24320685.8241934,136406059.491062
"126","Liberia","LIC","Sub-Saharan Africa","LBR","Sub-Saharan Africa","LIC","Baseline",9420282.2130021,9726801.2259389,10045704.6160789,10387009.7132815,10740655.3694038,11106408.9732793,11483342.5554553,11871304.1970459,84781508.8634856
"127","Libya","UMIC","Central Asia, Middle East and North Africa","LBY","Central Asia, Middle East and North Africa","UMIC","Adjusted",270068701.790723,295790497.690744,323421669.484681,353177171.467961,384792144.726182,418326667.420132,453782285.851736,491181938.169863,2990541076.60202
"128","Libya","UMIC","Central Asia, Middle East and North Africa","LBY","Central Asia, Middle East and North Africa","UMIC","Baseline",254511607.428465,263459086.515047,272852241.415788,282676855.671377,292802759.601017,303226703.123763,313910641.856938,324841698.764827,2308281594.37723
