"","unique_id","cost_2023","cost_2024","cost_2025","cost_2026","cost_2027","cost_2028","cost_2029","cost_2030","senario","Country","Class","Region","total_cost","adjusted_uc","pin_sum"
"57","3.7_a",754286.780768349,756312.241034443,757634.517835311,758774.962911045,759361.516651417,759508.321440587,759422.042704328,759073.182614563,"Baseline","India","LMIC","South Asia",6064373.56596004,312.647278885906,27133.9464213731
"58","3.7_a",754286.780768349,756312.241034443,757634.517835311,758774.962911045,759361.516651417,759508.321440587,759422.042704328,774887.207252366,"Baseline","India","LMIC","South Asia",6080187.59059785,306.266722173948,27133.9464213731
"59","3.7_a",754286.780768349,756312.241034443,757634.517835311,758774.962911045,759361.516651417,759508.321440587,759422.042704328,774887.207252366,"Baseline","India","LMIC","South Asia",6080187.59059785,312.647278885906,27133.9464213731
"60","3.7_a",754286.780768349,756312.241034443,757634.517835311,758774.962911045,759361.516651417,759508.321440587,775243.335260668,759073.182614563,"Baseline","India","LMIC","South Asia",6080194.85851638,306.266722173948,27133.9464213731
"61","3.7_a",754286.780768349,756312.241034443,757634.517835311,758774.962911045,759361.516651417,759508.321440587,775243.335260668,759073.182614563,"Baseline","India","LMIC","South Asia",6080194.85851638,312.647278885906,27133.9464213731
"62","3.7_a",754286.780768349,756312.241034443,757634.517835311,758774.962911045,759361.516651417,759508.321440587,775243.335260668,774887.207252366,"Baseline","India","LMIC","South Asia",6096008.88315419,306.266722173948,27133.9464213731
"63","3.7_a",754286.780768349,756312.241034443,757634.517835311,758774.962911045,759361.516651417,759508.321440587,775243.335260668,774887.207252366,"Baseline","India","LMIC","South Asia",6096008.88315419,312.647278885906,27133.9464213731
"64","3.7_a",754286.780768349,756312.241034443,757634.517835311,758774.962911045,759361.516651417,775331.411470599,759422.042704328,759073.182614563,"Baseline","India","LMIC","South Asia",6080196.65599006,306.266722173948,27133.9464213731
"65","3.7_a",754286.780768349,756312.241034443,757634.517835311,758774.962911045,759361.516651417,775331.411470599,759422.042704328,759073.182614563,"Baseline","India","LMIC","South Asia",6080196.65599006,312.647278885906,27133.9464213731
"66","3.7_a",754286.780768349,756312.241034443,757634.517835311,758774.962911045,759361.516651417,775331.411470599,759422.042704328,774887.207252366,"Baseline","India","LMIC","South Asia",6096010.68062786,306.266722173948,27133.9464213731
